year;origin_station_name;destination_station_name;origin_city;destination_city;origin_region;destination_region;Passengers_millions;Type;source
2016;Paris Gare de Lyon;Toulouse Matabiau;Paris;Toulouse;Île-de-France;Occitanie;4.33;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Nantes;Paris;Nantes;Île-de-France;Pays de la Loire;3.7;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Rennes;Paris;Rennes;Île-de-France;Bretagne;4.37;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Strasbourg;Paris;Strasbourg;Île-de-France;Grand Est;4.2;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Paris Gare du Nord;Paris;Paris;Île-de-France;Île-de-France;0.97;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Paris Gare de Lyon;Paris;Paris;Île-de-France;Île-de-France;1.06;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Paris Montparnasse;Paris;Paris;Île-de-France;Île-de-France;0.85;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Paris Est;Paris;Paris;Île-de-France;Île-de-France;1.08;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Paris Austerlitz;Paris;Paris;Île-de-France;Île-de-France;0.92;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Lyon Part-Dieu;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;6.9;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Lyon Perrache;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;9.09;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Marseille Saint-Charles;Paris;Marseille;Île-de-France;Provence-Alpes-Côte d'Azur;5.35;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Lille Flandres;Paris;Lille;Île-de-France;Hauts-de-France;7.18;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Lille Europe;Paris;Lille;Île-de-France;Hauts-de-France;7.11;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Bordeaux Saint-Jean;Paris;Bordeaux;Île-de-France;Nouvelle-Aquitaine;4.9;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Toulouse Matabiau;Paris;Toulouse;Île-de-France;Occitanie;3.79;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Nantes;Paris;Nantes;Île-de-France;Pays de la Loire;3.43;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Rennes;Paris;Rennes;Île-de-France;Bretagne;4.1;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Saint-Lazare;Strasbourg;Paris;Strasbourg;Île-de-France;Grand Est;4.3;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Paris Gare du Nord;Paris;Paris;Île-de-France;Île-de-France;0.97;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Paris Gare de Lyon;Paris;Paris;Île-de-France;Île-de-France;1.14;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Paris Saint-Lazare;Paris;Paris;Île-de-France;Île-de-France;1.01;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Paris Est;Paris;Paris;Île-de-France;Île-de-France;1.07;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Paris Austerlitz;Paris;Paris;Île-de-France;Île-de-France;1.05;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Lyon Part-Dieu;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;7.79;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Lyon Perrache;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;8.7;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Marseille Saint-Charles;Paris;Marseille;Île-de-France;Provence-Alpes-Côte d'Azur;6.44;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Lille Flandres;Paris;Lille;Île-de-France;Hauts-de-France;7.55;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Lille Europe;Paris;Lille;Île-de-France;Hauts-de-France;8.03;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Bordeaux Saint-Jean;Paris;Bordeaux;Île-de-France;Nouvelle-Aquitaine;4.52;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Toulouse Matabiau;Paris;Toulouse;Île-de-France;Occitanie;4.58;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Nantes;Paris;Nantes;Île-de-France;Pays de la Loire;4.15;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Rennes;Paris;Rennes;Île-de-France;Bretagne;3.75;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Montparnasse;Strasbourg;Paris;Strasbourg;Île-de-France;Grand Est;4.06;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Paris Gare du Nord;Paris;Paris;Île-de-France;Île-de-France;1.0;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Paris Gare de Lyon;Paris;Paris;Île-de-France;Île-de-France;1.04;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Paris Saint-Lazare;Paris;Paris;Île-de-France;Île-de-France;0.91;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Paris Montparnasse;Paris;Paris;Île-de-France;Île-de-France;0.89;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Paris Austerlitz;Paris;Paris;Île-de-France;Île-de-France;0.95;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Lyon Part-Dieu;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;8.96;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Lyon Perrache;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;9.02;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Marseille Saint-Charles;Paris;Marseille;Île-de-France;Provence-Alpes-Côte d'Azur;6.12;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Lille Flandres;Paris;Lille;Île-de-France;Hauts-de-France;6.13;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Lille Europe;Paris;Lille;Île-de-France;Hauts-de-France;7.59;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Bordeaux Saint-Jean;Paris;Bordeaux;Île-de-France;Nouvelle-Aquitaine;5.26;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Toulouse Matabiau;Paris;Toulouse;Île-de-France;Occitanie;3.9;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Nantes;Paris;Nantes;Île-de-France;Pays de la Loire;4.36;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Rennes;Paris;Rennes;Île-de-France;Bretagne;4.46;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Est;Strasbourg;Paris;Strasbourg;Île-de-France;Grand Est;3.79;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Paris Gare du Nord;Paris;Paris;Île-de-France;Île-de-France;0.96;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Paris Gare de Lyon;Paris;Paris;Île-de-France;Île-de-France;0.98;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Paris Saint-Lazare;Paris;Paris;Île-de-France;Île-de-France;0.98;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Paris Montparnasse;Paris;Paris;Île-de-France;Île-de-France;1.06;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Paris Est;Paris;Paris;Île-de-France;Île-de-France;1.05;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Lyon Part-Dieu;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;8.82;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Lyon Perrache;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;7.98;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Marseille Saint-Charles;Paris;Marseille;Île-de-France;Provence-Alpes-Côte d'Azur;5.4;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Lille Flandres;Paris;Lille;Île-de-France;Hauts-de-France;7.9;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Lille Europe;Paris;Lille;Île-de-France;Hauts-de-France;7.49;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Bordeaux Saint-Jean;Paris;Bordeaux;Île-de-France;Nouvelle-Aquitaine;4.46;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Toulouse Matabiau;Paris;Toulouse;Île-de-France;Occitanie;4.2;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Nantes;Paris;Nantes;Île-de-France;Pays de la Loire;4.08;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Rennes;Paris;Rennes;Île-de-France;Bretagne;4.36;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Austerlitz;Strasbourg;Paris;Strasbourg;Île-de-France;Grand Est;4.19;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Paris Gare du Nord;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;9.09;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Paris Gare de Lyon;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;8.86;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Paris Saint-Lazare;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;8.04;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Paris Montparnasse;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;7.36;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Paris Est;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;8.44;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Paris Austerlitz;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;8.74;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Lyon Perrache;Lyon;Lyon;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;0.94;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Marseille Saint-Charles;Lyon;Marseille;Auvergne-Rhône-Alpes;Provence-Alpes-Côte d'Azur;0.97;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Lille Flandres;Lyon;Lille;Auvergne-Rhône-Alpes;Hauts-de-France;0.94;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Lille Europe;Lyon;Lille;Auvergne-Rhône-Alpes;Hauts-de-France;1.0;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Bordeaux Saint-Jean;Lyon;Bordeaux;Auvergne-Rhône-Alpes;Nouvelle-Aquitaine;1.03;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Toulouse Matabiau;Lyon;Toulouse;Auvergne-Rhône-Alpes;Occitanie;1.04;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Nantes;Lyon;Nantes;Auvergne-Rhône-Alpes;Pays de la Loire;1.14;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Rennes;Lyon;Rennes;Auvergne-Rhône-Alpes;Bretagne;1.14;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Part-Dieu;Strasbourg;Lyon;Strasbourg;Auvergne-Rhône-Alpes;Grand Est;1.12;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Paris Gare du Nord;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;9.1;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Paris Gare de Lyon;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;8.37;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Paris Saint-Lazare;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;7.75;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Paris Montparnasse;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;8.52;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Paris Est;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;7.56;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Paris Austerlitz;Lyon;Paris;Auvergne-Rhône-Alpes;Île-de-France;9.12;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Lyon Part-Dieu;Lyon;Lyon;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;1.13;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Marseille Saint-Charles;Lyon;Marseille;Auvergne-Rhône-Alpes;Provence-Alpes-Côte d'Azur;0.93;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Lille Flandres;Lyon;Lille;Auvergne-Rhône-Alpes;Hauts-de-France;1.15;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Lille Europe;Lyon;Lille;Auvergne-Rhône-Alpes;Hauts-de-France;0.96;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Bordeaux Saint-Jean;Lyon;Bordeaux;Auvergne-Rhône-Alpes;Nouvelle-Aquitaine;1.12;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Toulouse Matabiau;Lyon;Toulouse;Auvergne-Rhône-Alpes;Occitanie;0.94;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Nantes;Lyon;Nantes;Auvergne-Rhône-Alpes;Pays de la Loire;0.91;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Rennes;Lyon;Rennes;Auvergne-Rhône-Alpes;Bretagne;1.0;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Lyon Perrache;Strasbourg;Lyon;Strasbourg;Auvergne-Rhône-Alpes;Grand Est;0.9;TER/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
